08:00-13-09-20 386.3 366.94000000
10:00-15-09-20 373.57 364.28000000
14:00-17-09-20 370.51 386.98000000
12:00-18-09-20 386.77 382.53000000
07:00-19-09-20 382.36 386.71000000
23:00-19-09-20 385.74 381.39000000
17:00-21-09-20 358.67 348.32000000
00:00-23-09-20 344.65 339.99000000
08:00-23-09-20 338.35 340.69000000
02:00-24-09-20 335.14 323.90000000
13:00-25-09-20 336.98 349.53000000
20:00-26-09-20 351.95 359.77000000
06:00-27-09-20 354.34 352.68000000
19:00-27-09-20 357.49 357.49000000
21:00-28-09-20 361.35 353.75000000
15:00-29-09-20 353.71 356.32000000
11:00-30-09-20 357.66 357.31000000
04:00-01-10-20 357.76 367.12000000
13:00-01-10-20 361.11 346.25000000
22:00-03-10-20 348.01 346.07000000
08:00-04-10-20 346.48 347.99000000
12:00-04-10-20 346.69 348.12000000
12:00-05-10-20 350.87 353.98000000
23:00-05-10-20 351.04 353.58000000
05:00-06-10-20 350.71 352.25000000
08:00-08-10-20 336.18 340.86000000
10:00-08-10-20 349.46 349.46000000
06:00-09-10-20 349.24 356.05000000
00:00-11-10-20 372.0 371.08000000
02:00-11-10-20 371.73 372.59000000
13:00-11-10-20 376.79 375.31000000
06:00-12-10-20 373.14 367.50000000
11:00-13-10-20 382.86 379.14000000
06:00-14-10-20 381.47 379.24000000
21:00-14-10-20 375.84 377.44000000
23:00-14-10-20 375.64 376.63000000
09:00-15-10-20 372.32 377.14000000
00:00-16-10-20 380.2 368.94000000
16:00-16-10-20 365.39 366.57000000
12:00-17-10-20 368.32 366.57000000
15:00-17-10-20 367.1 366.85000000
09:00-19-10-20 367.73 380.53000000
04:00-20-10-20 379.13 374.49000000
09:00-21-10-20 381.0 384.75000000
06:00-22-10-20 393.14 408.55000000
13:00-23-10-20 415.04 405.11000000
06:00-24-10-20 409.34 413.01000000
23:00-24-10-20 412.68 415.10000000
03:00-25-10-20 406.56 409.55000000
20:00-25-10-20 406.0 407.96000000
06:00-26-10-20 404.99 406.76000000
21:00-26-10-20 405.1 393.89000000
05:00-28-10-20 403.18 393.82000000
10:00-29-10-20 383.07 390.28000000
19:00-29-10-20 391.42 387.13000000
11:00-30-10-20 384.82 382.17000000
01:00-01-11-20 384.58 386.56000000
20:00-01-11-20 402.48 402.48000000
05:00-02-11-20 384.33 383.88000000
05:00-04-11-20 381.67 381.24000000
15:00-04-11-20 401.21 401.21000000
09:00-05-11-20 401.37 414.92000000
17:00-06-11-20 435.23 455.15000000
13:00-07-11-20 458.24 435.38000000
10:00-09-11-20 454.0 437.71000000
09:00-10-11-20 449.04 443.77000000
11:00-11-11-20 451.53 470.16000000
22:00-11-11-20 465.94 457.87000000
04:00-12-11-20 462.94 467.75000000
07:00-12-11-20 458.13 461.15000000
03:00-13-11-20 464.94 464.76000000
03:00-14-11-20 469.97 462.94000000
21:00-15-11-20 455.21 447.10000000
07:00-17-11-20 456.06 471.11000000
10:00-18-11-20 470.02 473.99000000
09:00-19-11-20 478.15 477.83000000
20:00-19-11-20 475.52 479.39000000
09:00-21-11-20 481.92 533.05000000
09:00-22-11-20 547.82 529.99000000
13:00-22-11-20 553.46 562.55000000
22:00-22-11-20 559.99 573.76000000
19:00-23-11-20 597.3 611.23000000
17:00-24-11-20 613.77 603.38000000
14:00-26-11-20 587.55 500.14000000
13:00-27-11-20 496.33 506.34000000
01:00-28-11-20 518.68 514.24000000
22:00-28-11-20 517.32 543.08000000
03:00-29-11-20 538.96 551.25000000
16:00-29-11-20 553.7 567.15000000
08:00-30-11-20 576.51 601.81000000
17:00-30-11-20 605.58 610.62000000
10:00-01-12-20 605.63 603.94000000
14:00-02-12-20 584.32 596.57000000
00:00-03-12-20 598.06 588.28000000
02:00-03-12-20 598.47 598.47000000
01:00-04-12-20 611.32 606.89000000
05:00-04-12-20 610.86 593.25000000
07:00-06-12-20 589.46 588.39000000
15:00-06-12-20 594.65 595.00000000
23:00-06-12-20 593.06 596.13000000
01:00-07-12-20 598.21 598.21000000
06:00-07-12-20 593.39 590.69000000
12:00-07-12-20 593.11 592.76000000
00:00-08-12-20 594.83 594.83000000
05:00-09-12-20 584.18 559.21000000
05:00-10-12-20 567.73 554.10000000
08:00-11-12-20 548.64 549.58000000
13:00-12-12-20 552.88 564.21000000
05:00-13-12-20 583.77 583.77000000
07:00-14-12-20 591.49 579.05000000
17:00-14-12-20 588.55 588.55000000
02:00-15-12-20 582.54 585.74000000
13:00-15-12-20 587.04 589.03000000
21:00-15-12-20 585.14 585.72000000
05:00-17-12-20 594.56 668.80000000
19:00-17-12-20 650.2 639.61000000
05:00-18-12-20 662.15 653.27000000
09:00-18-12-20 650.47 639.55000000
05:00-19-12-20 653.85 653.80000000
07:00-19-12-20 650.89 654.91000000
21:00-19-12-20 648.05 647.22000000
07:00-20-12-20 652.57 647.77000000
01:00-21-12-20 632.7 644.75000000
17:00-21-12-20 635.39 617.00000000
21:00-21-12-20 607.58 612.80000000
04:00-22-12-20 597.77 604.99000000
03:00-23-12-20 626.29 612.79000000
22:00-25-12-20 604.72 633.91000000
11:00-26-12-20 628.85 647.60000000
01:00-27-12-20 638.31 651.90000000
09:00-27-12-20 644.44 685.15000000
23:00-28-12-20 727.21 705.31000000
07:00-29-12-20 729.19 729.19000000
11:00-29-12-20 719.14 714.74000000
12:00-30-12-20 725.05 736.30000000
05:00-31-12-20 738.29 751.65000000
10:00-31-12-20 745.32 736.00000000
18:00-31-12-20 740.48 736.42000000
02:00-01-01-21 742.29 737.38000000
00:00-03-01-21 752.38 786.42000000
20:00-04-01-21 970.08 1114.52000000
02:00-05-01-21 1001.76 1003.45000000
11:00-05-01-21 1042.21 1065.84000000
23:00-05-01-21 1077.41 1119.17000000
06:00-06-01-21 1099.02 1151.88000000
10:00-07-01-21 1207.27 1249.83000000
21:00-07-01-21 1234.14 1111.34000000
05:00-08-01-21 1251.31 1251.31000000
14:00-08-01-21 1182.87 1184.75000000
00:00-09-01-21 1219.16 1185.53000000
16:00-10-01-21 1218.58 1270.60000000
10:00-12-01-21 1137.94 1053.34000000
19:00-12-01-21 1117.67 991.32000000
11:00-14-01-21 1074.14 1225.18000000
19:00-14-01-21 1188.42 1237.10000000
21:00-14-01-21 1230.61 1239.62000000
11:00-15-01-21 1219.07 1165.20000000
03:00-17-01-21 1213.47 1196.54000000
22:00-17-01-21 1226.55 1194.07000000
06:00-18-01-21 1225.43 1225.43000000
15:00-18-01-21 1218.29 1226.08000000
17:00-18-01-21 1240.9 1240.90000000
02:00-20-01-21 1368.44 1369.92000000
23:00-20-01-21 1326.5 1287.34000000
10:00-23-01-21 1232.9 1230.26000000
19:00-23-01-21 1236.0 1232.01000000
22:00-23-01-21 1293.33 1293.33000000
04:00-24-01-21 1314.74 1340.56000000
12:00-24-01-21 1320.5 1357.52000000
17:00-24-01-21 1326.37 1367.99000000
16:00-25-01-21 1390.77 1347.38000000
15:00-27-01-21 1365.97 1287.61000000
02:00-29-01-21 1304.03 1315.90000000
04:00-29-01-21 1375.82 1369.93000000
23:00-29-01-21 1352.92 1343.13000000
00:00-31-01-21 1370.43 1350.49000000
10:00-01-02-21 1330.1 1301.73000000
01:00-02-02-21 1336.03 1405.00000000
11:00-03-02-21 1547.09 1607.21000000
10:00-04-02-21 1662.49 1580.88000000
19:00-04-02-21 1652.99 1614.66000000
02:00-05-02-21 1662.36 1662.36000000
08:00-06-02-21 1672.96 1676.36000000
13:00-06-02-21 1707.15 1707.15000000
18:00-06-02-21 1676.35 1676.35000000
20:00-09-02-21 1639.59 1803.74000000
09:00-10-02-21 1790.99 1722.57000000
19:00-11-02-21 1763.36 1791.46000000
03:00-12-02-21 1775.11 1765.86000000
08:00-12-02-21 1765.87 1790.99000000
10:00-12-02-21 1760.46 1789.03000000
06:00-13-02-21 1841.23 1782.95000000
10:00-14-02-21 1837.01 1799.05000000
05:00-15-02-21 1800.42 1771.89000000
22:00-15-02-21 1810.28 1822.00000000
03:00-16-02-21 1797.57 1809.02000000
09:00-16-02-21 1802.16 1782.89000000
01:00-17-02-21 1738.77 1772.76000000
20:00-17-02-21 1811.63 1906.17000000
12:00-19-02-21 1902.01 1963.83000000
21:00-19-02-21 1933.46 1983.35000000
17:00-20-02-21 1988.99 1894.23000000
16:00-22-02-21 1918.54 1799.42000000
10:00-23-02-21 1668.0 1573.99000000
18:00-24-02-21 1642.84 1623.39000000
